months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,ages_category,customer_category,Contract Years,total_premiums_paid,net_value_of_customer
328,48,521585,2014-10-17,OH,250/500,1000.0,1406.91,0,466132,MALE,1406.91,craft-repair,sleeping,husband,53300.0,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610.0,71610.0,71610.0,52080,Saab,92x,2004,Y,Middle Aged,Long-Term Client,27.333333333333332,38455.54,-33154.46
228,42,342868,2006-06-27,IN,250/500,2000.0,1197.22,5000000,468176,MALE,1197.22,machine-op-inspct,reading,other-relative,0.0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,YES,0,0,NO,5070.0,5070.0,5070.0,3510,Mercedes,E400,2007,Y,Middle Aged,Long-Term Client,19.0,22747.18,17677.18
134,29,687698,2000-09-06,OH,100/300,2000.0,1413.14,5000000,430632,FEMALE,1413.14,sales,board-games,own-child,35100.0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650.0,34650.0,34650.0,23100,Dodge,RAM,2007,N,Young Adult,Established Client,11.166666666666666,15780.063333333334,-18869.93666666667
256,41,227811,1990-05-25,IL,250/500,2000.0,1415.74,6000000,608117,FEMALE,1415.74,armed-forces,unknown,unmarried,48900.0,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,YES,1,2,NO,63400.0,63400.0,63400.0,50720,Chevrolet,Tahoe,2014,Y,Middle Aged,Long-Term Client,21.333333333333332,30202.453333333335,-33197.54666666666
228,44,367455,2014-06-06,IL,500/1000,1000.0,1583.91,6000000,610706,MALE,1583.91,sales,unknown,unmarried,66000.0,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500.0,6500.0,6500.0,4550,Accura,RSX,2009,N,Middle Aged,Long-Term Client,19.0,30094.29,23594.29
256,39,104594,2006-10-12,OH,250/500,1000.0,1351.1,0,478456,FEMALE,1351.1,tech-support,bungie-jumping,unmarried,0.0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100.0,64100.0,64100.0,51280,Saab,95,2003,Y,Middle Aged,Long-Term Client,21.333333333333332,28823.466666666664,-35276.53333333334
137,34,413978,2000-06-04,IN,250/500,1000.0,1333.35,0,441716,MALE,1333.35,prof-specialty,board-games,husband,0.0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,YES,0,0,NO,78650.0,78650.0,78650.0,50050,Nissan,Pathfinder,2012,N,Middle Aged,Established Client,11.416666666666666,15222.4125,-63427.5875
165,37,429027,1990-02-03,IL,100/300,1000.0,1137.03,0,603195,MALE,1137.03,tech-support,base-jumping,unmarried,0.0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,YES,2,2,YES,51590.0,51590.0,51590.0,32830,Audi,A5,2015,N,Middle Aged,Long-Term Client,13.75,15634.1625,-35955.8375
27,33,485665,1997-02-05,IL,100/300,500.0,1442.99,0,601734,FEMALE,1442.99,other-service,golf,own-child,0.0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700.0,27700.0,27700.0,22160,Toyota,Camry,2012,N,Middle Aged,Established Client,2.25,3246.7275,-24453.2725
212,42,636550,2011-07-25,IL,100/300,500.0,1315.68,0,600983,MALE,1315.68,priv-house-serv,camping,wife,0.0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,NO,42300.0,42300.0,42300.0,32900,Saab,92x,1996,N,Middle Aged,Long-Term Client,17.666666666666668,23243.68,-19056.32
